"estacion","nombreestacion","anio","mes","temperatura","mes_num","precipitacion","id_clima"
"M0001","Inguincho",2019,"Ene",11.2,1,155,"Row0"
"M0002","La Tola",2019,"Ene",16.3,1,55.8,"Row1"
"M0003","Izobamba",2019,"Ene",12.9,1,105.5,"Row2"
"M0004","Rumipamba-salcedo",2019,"Ene",15,1,16.5,"Row3"
"M0005","Portoviejo-utm",2019,"Ene",26.2,1,72.2,"Row4"
"M0006","Pichilingue",2019,"Ene",25.6,1,430.6,"Row5"
"M0007","Nuevo Rocafuerte",2019,"Ene",26,1,222.8,"Row6"
"M0008","Puyo",2019,"Ene",21.4,1,435.1,"Row7"
"M0024","Quito Inamhi-iaquito",2019,"Ene",16,1,79.7,"Row8"
"M0025","La Concordia",2019,"Ene",24.7,1,504.1,"Row9"
"M0031","Caar",2019,"Ene",12.5,1,81.2,"Row10"
"M0033","La Argelia-loja",2019,"Ene",16.5,1,125.4,"Row11"
"M0037","Milagro(ingenio Valdez)",2019,"Ene",26.4,1,297.9,"Row12"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Ene",15.4,1,55.4,"Row13"
"M0103","San Gabriel",2019,"Ene",12.8,1,74.3,"Row14"
"M0139","Gualaceo",2019,"Ene",18,1,90.2,"Row15"
"M1040","Macas San Isidro-domono",2019,"Ene",20.9,1,374.6,"Row16"
"M1094","Tomalon-tabacundo",2019,"Ene",15.9,1,69.2,"Row17"
"M0001","Inguincho",2019,"Feb",11.5,2,158.7,"Row18"
"M0002","La Tola",2019,"Feb",16.7,2,120.3,"Row19"
"M0003","Izobamba",2019,"Feb",12.9,2,212,"Row20"
"M0004","Rumipamba-salcedo",2019,"Feb",15.2,2,49.3,"Row21"
"M0005","Portoviejo-utm",2019,"Feb",26.7,2,177.3,"Row22"
"M0006","Pichilingue",2019,"Feb",26.5,2,750.8,"Row23"
"M0007","Nuevo Rocafuerte",2019,"Feb",26.1,2,173.5,"Row24"
"M0008","Puyo",2019,"Feb",21.6,2,418,"Row25"
"M0024","Quito Inamhi-iaquito",2019,"Feb",15.8,2,190.4,"Row26"
"M0025","La Concordia",2019,"Feb",25.2,2,661.9,"Row27"
"M0031","Caar",2019,"Feb",13,2,54.4,"Row28"
"M0033","La Argelia-loja",2019,"Feb",17.1,2,108.4,"Row29"
"M0037","Milagro(ingenio Valdez)",2019,"Feb",26.6,2,374.3,"Row30"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Feb",15.3,2,121.3,"Row31"
"M0103","San Gabriel",2019,"Feb",13.3,2,77.1,"Row32"
"M0139","Gualaceo",2019,"Feb",18.5,2,53.4,"Row33"
"M1040","Macas San Isidro-domono",2019,"Feb",20.9,2,166.2,"Row34"
"M1094","Tomalon-tabacundo",2019,"Feb",15.8,2,63.8,"Row35"
"M0001","Inguincho",2019,"Mar",11.9,3,88.6,"Row36"
"M0002","La Tola",2019,"Mar",16.3,3,196.1,"Row37"
"M0003","Izobamba",2019,"Mar",12.7,3,235.1,"Row38"
"M0004","Rumipamba-salcedo",2019,"Mar",15.3,3,54.2,"Row39"
"M0005","Portoviejo-utm",2019,"Mar",26.6,3,177.3,"Row40"
"M0006","Pichilingue",2019,"Mar",26.4,3,638.9,"Row41"
"M0007","Nuevo Rocafuerte",2019,"Mar",26.1,3,303,"Row42"
"M0008","Puyo",2019,"Mar",21.4,3,326.5,"Row43"
"M0024","Quito Inamhi-iaquito",2019,"Mar",15.8,3,189.5,"Row44"
"M0025","La Concordia",2019,"Mar",25.4,3,775.1,"Row45"
"M0031","Caar",2019,"Mar",12.9,3,76.6,"Row46"
"M0033","La Argelia-loja",2019,"Mar",17.4,3,89.2,"Row47"
"M0037","Milagro(ingenio Valdez)",2019,"Mar",27.2,3,401.4,"Row48"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Mar",15.6,3,123.6,"Row49"
"M0103","San Gabriel",2019,"Mar",13.1,3,31.1,"Row50"
"M0139","Gualaceo",2019,"Mar",18.5,3,97.7,"Row51"
"M1040","Macas San Isidro-domono",2019,"Mar",16.3,3,87.69999999999999,"Row52"
"M1094","Tomalon-tabacundo",2019,"Mar",15.8,3,35.1,"Row53"
"M0001","Inguincho",2019,"Abr",11.6,4,231.3,"Row54"
"M0002","La Tola",2019,"Abr",16.1,4,109.5,"Row55"
"M0003","Izobamba",2019,"Abr",12.5,4,155.4,"Row56"
"M0004","Rumipamba-salcedo",2019,"Abr",14.8,4,104.5,"Row57"
"M0005","Portoviejo-utm",2019,"Abr",27,4,30.4,"Row58"
"M0006","Pichilingue",2019,"Abr",26.7,4,544.4,"Row59"
"M0007","Nuevo Rocafuerte",2019,"Abr",26.4,4,248.5,"Row60"
"M0008","Puyo",2019,"Abr",21.9,4,469.1,"Row61"
"M0024","Quito Inamhi-iaquito",2019,"Abr",15.4,4,168.2,"Row62"
"M0025","La Concordia",2019,"Abr",25.5,4,292.7,"Row63"
"M0031","Caar",2019,"Abr",16.3,4,87.69999999999999,"Row64"
"M0033","La Argelia-loja",2019,"Abr",17.3,4,90.8,"Row65"
"M0037","Milagro(ingenio Valdez)",2019,"Abr",27.4,4,217.7,"Row66"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Abr",15.2,4,117.2,"Row67"
"M0103","San Gabriel",2019,"Abr",13.2,4,79.7,"Row68"
"M0139","Gualaceo",2019,"Abr",16.3,4,87.69999999999999,"Row69"
"M1040","Macas San Isidro-domono",2019,"Abr",16.3,4,87.69999999999999,"Row70"
"M1094","Tomalon-tabacundo",2019,"Abr",15.5,4,103.4,"Row71"
"M0001","Inguincho",2019,"May",11.2,5,98.7,"Row72"
"M0002","La Tola",2019,"May",16,5,27.9,"Row73"
"M0003","Izobamba",2019,"May",12.6,5,103.6,"Row74"
"M0004","Rumipamba-salcedo",2019,"May",14.4,5,52,"Row75"
"M0005","Portoviejo-utm",2019,"May",26.5,5,22.4,"Row76"
"M0006","Pichilingue",2019,"May",26.1,5,357.2,"Row77"
"M0007","Nuevo Rocafuerte",2019,"May",25.7,5,385.1,"Row78"
"M0008","Puyo",2019,"May",21.7,5,488.4,"Row79"
"M0024","Quito Inamhi-iaquito",2019,"May",15.6,5,35.4,"Row80"
"M0025","La Concordia",2019,"May",25.2,5,580.8,"Row81"
"M0031","Caar",2019,"May",16.3,5,87.69999999999999,"Row82"
"M0033","La Argelia-loja",2019,"May",16.8,5,89.4,"Row83"
"M0037","Milagro(ingenio Valdez)",2019,"May",27,5,158.5,"Row84"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"May",15.1,5,39.6,"Row85"
"M0103","San Gabriel",2019,"May",12.8,5,84,"Row86"
"M0139","Gualaceo",2019,"May",16.3,5,87.69999999999999,"Row87"
"M1040","Macas San Isidro-domono",2019,"May",16.3,5,87.69999999999999,"Row88"
"M1094","Tomalon-tabacundo",2019,"May",15.3,5,62.2,"Row89"
"M0001","Inguincho",2019,"Jun",11.1,6,45.2,"Row90"
"M0002","La Tola",2019,"Jun",16.7,6,14.3,"Row91"
"M0003","Izobamba",2019,"Jun",13,6,62.5,"Row92"
"M0004","Rumipamba-salcedo",2019,"Jun",13.7,6,19.9,"Row93"
"M0005","Portoviejo-utm",2019,"Jun",25.8,6,5.9,"Row94"
"M0006","Pichilingue",2019,"Jun",25.2,6,130.5,"Row95"
"M0007","Nuevo Rocafuerte",2019,"Jun",16.3,6,87.69999999999999,"Row96"
"M0008","Puyo",2019,"Jun",20.9,6,418.3,"Row97"
"M0024","Quito Inamhi-iaquito",2019,"Jun",16.5,6,87.69999999999999,"Row98"
"M0025","La Concordia",2019,"Jun",24.6,6,245.2,"Row99"
"M0031","Caar",2019,"Jun",16.3,6,87.69999999999999,"Row100"
"M0033","La Argelia-loja",2019,"Jun",16,6,44.7,"Row101"
"M0037","Milagro(ingenio Valdez)",2019,"Jun",26,6,3,"Row102"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Jun",16,6,7,"Row103"
"M0103","San Gabriel",2019,"Jun",12.4,6,55.3,"Row104"
"M0139","Gualaceo",2019,"Jun",16.3,6,87.69999999999999,"Row105"
"M1040","Macas San Isidro-domono",2019,"Jun",16.3,6,87.69999999999999,"Row106"
"M1094","Tomalon-tabacundo",2019,"Jun",16.2,6,10.2,"Row107"
"M0001","Inguincho",2019,"Jul",11,7,11.2,"Row108"
"M0002","La Tola",2019,"Jul",16.3,7,5,"Row109"
"M0003","Izobamba",2019,"Jul",12.2,7,24.9,"Row110"
"M0004","Rumipamba-salcedo",2019,"Jul",13.2,7,7.7,"Row111"
"M0005","Portoviejo-utm",2019,"Jul",24.9,7,5.1,"Row112"
"M0006","Pichilingue",2019,"Jul",24.1,7,10.8,"Row113"
"M0007","Nuevo Rocafuerte",2019,"Jul",16.3,7,87.69999999999999,"Row114"
"M0008","Puyo",2019,"Jul",20.5,7,303,"Row115"
"M0024","Quito Inamhi-iaquito",2019,"Jul",16.3,7,15.4,"Row116"
"M0025","La Concordia",2019,"Jul",23.8,7,20.7,"Row117"
"M0031","Caar",2019,"Jul",16.3,7,87.69999999999999,"Row118"
"M0033","La Argelia-loja",2019,"Jul",15.3,7,94.2,"Row119"
"M0037","Milagro(ingenio Valdez)",2019,"Jul",24.9,7,0.7,"Row120"
"M0055","Quito Aeropuerto- Parque Bicentenario",2019,"Jul",15.5,7,24.8,"Row121"
"M0103","San Gabriel",2019,"Jul",11.5,7,38,"Row122"
"M0139","Gualaceo",2019,"Jul",16.3,7,87.69999999999999,"Row123"
"M1040","Macas San Isidro-domono",2019,"Jul",16.3,7,87.69999999999999,"Row124"
"M1094","Tomalon-tabacundo",2019,"Jul",15.7,7,8.7,"Row125"
"M0001","Inguincho",2019,"Ago",11.1,8,1.1,"Row126"
"M0002","La Tola",2019,"Ago",17,8,0.1,"Row127"
"M0003","Izobamba",2019,"Ago",12.6,8,0,"Row128"
"M0004","Rumipamba-salcedo",2019,"Ago",12.7,8,8.1,"Row129"
