"provincia","canton","parroquia","poblacion","densidad_poblacional","id_poblacion"
"Azuay","Cuenca","Cuenca",361524,5044,"Row0"
"Azuay","Cuenca","Banos",21797,87,"Row1"
"Azuay","Cuenca","Cumbe",6455,86,"Row2"
"Azuay","Cuenca","Chaucha",1721,5,"Row3"
"Azuay","Cuenca","Checa",3204,29,"Row4"
"Azuay","Cuenca","Chiquintad",5738,61,"Row5"
"Azuay","Cuenca","Llacao",7468,468,"Row6"
"Azuay","Cuenca","Molleturo",6882,7,"Row7"
"Azuay","Cuenca","Nulti",6707,248,"Row8"
"Azuay","Cuenca","Octavio Cordero Palacios",2516,120,"Row9"
"Azuay","Cuenca","Paccha",8497,336,"Row10"
"Azuay","Cuenca","Quingeo",7318,63,"Row11"
"Azuay","Cuenca","Ricaurte",26919,1932,"Row12"
"Azuay","Cuenca","San Joaquin",10728,53,"Row13"
"Azuay","Cuenca","Santa Ana",7027,156,"Row14"
"Azuay","Cuenca","Sayausi",10352,37,"Row15"
"Azuay","Cuenca","Sidcay",5039,312,"Row16"
"Azuay","Cuenca","Sinincay",26725,573,"Row17"
"Azuay","Cuenca","Tarqui",14144,94,"Row18"
"Azuay","Cuenca","Turi",13901,537,"Row19"
"Azuay","Cuenca","Valle",34785,784,"Row20"
"Azuay","Cuenca","Victoria Del Portete",6654,34,"Row21"
"Azuay","Giron","Giron",8441,35,"Row22"
"Azuay","Giron","La Asuncion",2683,50,"Row23"
"Azuay","Giron","San Gerardo",1058,21,"Row24"
"Azuay","Gualaceo","Gualaceo",22019,531,"Row25"
"Azuay","Gualaceo","Daniel Cordova Toral",1552,77,"Row26"
"Azuay","Gualaceo","Jadan",4581,87,"Row27"
"Azuay","Gualaceo","Mariano Moreno",2513,66,"Row28"
"Azuay","Gualaceo","Remigio Crespo Toral",1380,45,"Row29"
"Azuay","Gualaceo","San Juan",4696,131,"Row30"
"Azuay","Gualaceo","Zhidmad",3045,73,"Row31"
"Azuay","Gualaceo","Luis Cordero Vega",2670,36,"Row32"
"Azuay","Gualaceo","Simon Bolivar",732,61,"Row33"
"Azuay","Nabon","Nabon",9097,37,"Row34"
"Azuay","Nabon","Cochapata",2981,27,"Row35"
"Azuay","Nabon","El Progreso",1388,9,"Row36"
"Azuay","Nabon","Las Nieves",1310,11,"Row37"
"Azuay","Paute","Paute",11497,217,"Row38"
"Azuay","Paute","Bulan",1911,49,"Row39"
"Azuay","Paute","Chican",3394,138,"Row40"
"Azuay","Paute","El Cabo",3366,148,"Row41"
"Azuay","Paute","Guarainag",701,19,"Row42"
"Azuay","Paute","San Cristobal",2819,166,"Row43"
"Azuay","Paute","Tomebamba",1315,34,"Row44"
"Azuay","Paute","Dug Dug",1779,48,"Row45"
"Azuay","Pucara","Pucara",8001,14,"Row46"
"Azuay","Pucara","San Rafael De Sharug",1692,25,"Row47"
"Azuay","San Fernando","San Fernando",2985,25,"Row48"
"Azuay","San Fernando","Chumblin",753,33,"Row49"
"Azuay","Santa Isabel","Santa Isabel",10410,56,"Row50"
"Azuay","Santa Isabel","Abdon Calderon",4228,68,"Row51"
"Azuay","Santa Isabel","El Carmen De Pijili",2648,13,"Row52"
"Azuay","Santa Isabel","Shaglli",1849,7,"Row53"
"Azuay","Santa Isabel","San Salvador De Canaribamba",1618,16,"Row54"
"Azuay","Sigsig","Sigsig",10656,74,"Row55"
"Azuay","Sigsig","Cuchil",1638,13,"Row56"
"Azuay","Sigsig","Jima",2778,12,"Row57"
"Azuay","Sigsig","Guel",1058,64,"Row58"
"Azuay","Sigsig","Ludo",3429,43,"Row59"
"Azuay","Sigsig","San Bartolome",3368,94,"Row60"
"Azuay","Sigsig","San Jose De Raranga",2065,48,"Row61"
"Azuay","Ona","San Felipe De Ona",2456,11,"Row62"
"Azuay","Ona","Susudel",966,13,"Row63"
"Azuay","Chordeleg","Chordeleg",6907,423,"Row64"
"Azuay","Chordeleg","Principal",1158,38,"Row65"
"Azuay","Chordeleg","La Union",1875,137,"Row66"
"Azuay","Chordeleg","Luis Galarza Orellana",1237,42,"Row67"
"Azuay","Chordeleg","San Martin De Puzhio",1020,73,"Row68"
"Azuay","El Pan","El Pan",1085,61,"Row69"
"Azuay","El Pan","San Vicente",1691,14,"Row70"
"Azuay","Sevilla De Oro","Sevilla De Oro",2027,31,"Row71"
"Azuay","Sevilla De Oro","Amaluza",896,5,"Row72"
"Azuay","Sevilla De Oro","Palmas",1690,24,"Row73"
"Azuay","Guachapala","Guachapala",3586,89,"Row74"
"Azuay","Camilo Ponce Enriquez","Camilo Ponce Enriquez",22810,107,"Row75"
"Bolivar","Guaranda","Guaranda",62611,123,"Row76"
"Bolivar","Guaranda","Facundo Vela",1859,16,"Row77"
"Bolivar","Guaranda","Julio E. Moreno",2527,30,"Row78"
"Bolivar","Guaranda","Salinas",5880,13,"Row79"
"Bolivar","Guaranda","San Lorenzo",1770,19,"Row80"
"Bolivar","Guaranda","San Simon",4288,52,"Row81"
"Bolivar","Guaranda","Santa Fe",1896,73,"Row82"
"Bolivar","Guaranda","Simiatug",9412,32,"Row83"
"Bolivar","Guaranda","San Luis De Pambil",7887,42,"Row84"
"Bolivar","Chillanes","Chillanes",13855,33,"Row85"
"Bolivar","Chillanes","San Jose Del Tambo",5947,24,"Row86"
"Bolivar","Chimbo","San Jose De Chimbo",6020,410,"Row87"
"Bolivar","Chimbo","Asuncion",2745,79,"Row88"
"Bolivar","Chimbo","La Magdalena",2552,59,"Row89"
"Bolivar","Chimbo","San Sebastian",1176,111,"Row90"
"Bolivar","Chimbo","Telimbela",3031,18,"Row91"
"Bolivar","Echeandia","Echeandia",14654,60,"Row92"
"Bolivar","San Miguel","San Miguel",14040,150,"Row93"
"Bolivar","San Miguel","Balsapamba",2470,22,"Row94"
"Bolivar","San Miguel","Bilovan",2966,21,"Row95"
"Bolivar","San Miguel","Regulo De Mora",1005,12,"Row96"
"Bolivar","San Miguel","San Pablo",5180,68,"Row97"
"Bolivar","San Miguel","Santiago",1633,33,"Row98"
"Bolivar","San Miguel","San Vicente",1055,37,"Row99"
"Bolivar","Caluma","Caluma",15607,89,"Row100"
"Bolivar","Las Naves","Las Naves",7012,47,"Row101"
"Canar","Azogues","Azogues",41249,730,"Row102"
"Canar","Azogues","Cojitambo",3612,190,"Row103"
"Canar","Azogues","Guapan",8921,115,"Row104"
"Canar","Azogues","Javier Loyola",8591,280,"Row105"
"Canar","Azogues","Luis Cordero",3931,162,"Row106"
"Canar","Azogues","Pindilig",1837,16,"Row107"
"Canar","Azogues","Rivera",1568,3,"Row108"
"Canar","Azogues","San Miguel",3615,135,"Row109"
"Canar","Azogues","Taday",1191,20,"Row110"
"Canar","Biblian","Biblian",12379,206,"Row111"
"Canar","Biblian","Nazon",2232,44,"Row112"
"Canar","Biblian","San Francisco De Sageo",1471,392,"Row113"
"Canar","Biblian","Turupamba",1078,165,"Row114"
"Canar","Biblian","Jerusalen",1692,28,"Row115"
"Canar","Canar","Canar",17305,227,"Row116"
"Canar","Canar","Chontamarca",3191,15,"Row117"
"Canar","Canar","Chorocopte",2726,80,"Row118"
"Canar","Canar","General Morales",2300,20,"Row119"
"Canar","Canar","Gualleturo",3223,11,"Row120"
"Canar","Canar","Honorato Vasquez",5906,77,"Row121"
"Canar","Canar","Ingapirca",6964,17,"Row122"
"Canar","Canar","Juncal",1680,26,"Row123"
"Canar","Canar","San Antonio",2127,5,"Row124"
"Canar","Canar","Zhud",1683,20,"Row125"
"Canar","Canar","Ventura",1357,20,"Row126"
"Canar","Canar","Ducur",3688,37,"Row127"
"Canar","La Troncal","La Troncal",46505,297,"Row128"
"Canar","La Troncal","Manuel J. Calle",4732,78,"Row129"
"Canar","La Troncal","Pancho Negro",10866,72,"Row130"
"Canar","El Tambo","El Tambo",9285,147,"Row131"
"Canar","Deleg","Deleg",4273,75,"Row132"
"Canar","Deleg","Solano",1773,105,"Row133"
"Canar","Suscal","Suscal",4627,87,"Row134"
"Carchi","Tulcan","Tulcan",64218,473,"Row135"
"Carchi","Tulcan","El Carmelo",2162,33,"Row136"
"Carchi","Tulcan","Julio Andrade",10594,114,"Row137"
"Carchi","Tulcan","Maldonado",2069,10,"Row138"
"Carchi","Tulcan","Pioter",670,38,"Row139"
"Carchi","Tulcan","Tobar Donoso",1393,2,"Row140"
"Carchi","Tulcan","Tufino",2692,15,"Row141"
"Carchi","Tulcan","Urbina",1770,44,"Row142"
"Carchi","Tulcan","El Chical",4403,10,"Row143"
"Carchi","Tulcan","Santa Martha De Cuba",2404,145,"Row144"
"Carchi","Bolivar","Bolivar",5873,59,"Row145"
"Carchi","Bolivar","Garcia Moreno",1364,23,"Row146"
"Carchi","Bolivar","Los Andes",2536,43,"Row147"
"Carchi","Bolivar","Monte Olivo",1699,24,"Row148"
"Carchi","Bolivar","San Vicente De Pusir",2254,53,"Row149"
"Carchi","Bolivar","San Rafael",1951,63,"Row150"
"Carchi","Espejo","El Angel",7075,62,"Row151"
"Carchi","Espejo","El Goaltal",746,3,"Row152"
"Carchi","Espejo","La Libertad",3718,25,"Row153"
"Carchi","Espejo","San Isidro",2983,64,"Row154"
"Carchi","Mira","Mira",6706,67,"Row155"
"Carchi","Mira","Concepcion",2680,18,"Row156"
"Carchi","Mira","Jijon Y Caamano",1961,7,"Row157"
"Carchi","Mira","Juan Montalvo",1380,26,"Row158"
"Carchi","Montufar","San Gabriel",20576,141,"Row159"
"Carchi","Montufar","Cristobal Colon",2901,89,"Row160"
"Carchi","Montufar","Chitan De Navarrete",641,16,"Row161"
"Carchi","Montufar","Fernandez Salvador",1144,36,"Row162"
"Carchi","Montufar","La Paz",3399,30,"Row163"
"Carchi","Montufar","Piartal",929,50,"Row164"
"Carchi","San Pedro De Huaca","Huaca",6455,149,"Row165"
"Carchi","San Pedro De Huaca","Mariscal Sucre",1482,45,"Row166"
"Cotopaxi","Latacunga","Latacunga",125651,472,"Row167"
"Cotopaxi","Latacunga","Alaquez",7958,55,"Row168"
"Cotopaxi","Latacunga","Belisario Quevedo",7301,192,"Row169"
"Cotopaxi","Latacunga","Guaytacama",15158,569,"Row170"
"Cotopaxi","Latacunga","Joseguango Bajo",2469,134,"Row171"
"Cotopaxi","Latacunga","Mulalo",9101,18,"Row172"
"Cotopaxi","Latacunga","Once De Noviembre",3233,311,"Row173"
"Cotopaxi","Latacunga","Poalo",4960,65,"Row174"
"Cotopaxi","Latacunga","San Juan De Pastocalle",14884,107,"Row175"
"Cotopaxi","Latacunga","Tanicuchi",15509,291,"Row176"
"Cotopaxi","Latacunga","Toacaso",11037,52,"Row177"
"Cotopaxi","La Mana","La Mana",47967,208,"Row178"
"Cotopaxi","La Mana","Guasaganda",3866,16,"Row179"
"Cotopaxi","La Mana","Pucayacu",1960,11,"Row180"
"Cotopaxi","Pangua","El Corazon",5529,34,"Row181"
"Cotopaxi","Pangua","Moraspungo",13884,34,"Row182"
"Cotopaxi","Pangua","Pinllopata",692,21,"Row183"
"Cotopaxi","Pangua","Ramon Campana",1762,15,"Row184"
"Cotopaxi","Pujili","Pujili",42614,144,"Row185"
"Cotopaxi","Pujili","Angamarca",3802,13,"Row186"
"Cotopaxi","Pujili","Guangaje",4113,33,"Row187"
"Cotopaxi","Pujili","La Victoria",3561,191,"Row188"
"Cotopaxi","Pujili","Pilalo",1916,9,"Row189"
"Cotopaxi","Pujili","Tingo",4026,21,"Row190"
"Cotopaxi","Pujili","Zumbahua",6948,33,"Row191"
"Cotopaxi","Salcedo","San Miguel",39101,202,"Row192"
"Cotopaxi","Salcedo","Antonio Jose Holguin",3431,472,"Row193"
"Cotopaxi","Salcedo","Cusubamba",5949,37,"Row194"
"Cotopaxi","Salcedo","Mulalillo",7254,176,"Row195"
"Cotopaxi","Salcedo","Mulliquindil",7632,159,"Row196"
"Cotopaxi","Salcedo","Pansaleo",4126,251,"Row197"
"Cotopaxi","Saquisili","Saquisili",16163,391,"Row198"
"Cotopaxi","Saquisili","Canchagua",3510,138,"Row199"
"Cotopaxi","Saquisili","Chantilin",2129,452,"Row200"
"Cotopaxi","Saquisili","Cochapamba",2554,30,"Row201"
"Cotopaxi","Sigchos","Sigchos",7560,10,"Row202"
"Cotopaxi","Sigchos","Chugchillan",6075,24,"Row203"
"Cotopaxi","Sigchos","Isinlivi",1945,23,"Row204"
"Cotopaxi","Sigchos","Las Pampas",1850,14,"Row205"
"Cotopaxi","Sigchos","Palo Quemado",1030,9,"Row206"
"Chimborazo","Riobamba","Riobamba",188891,3049,"Row207"
