"provincia","canton","zona","id_ubicacion"
"Imbabura","Otavalo","Urbana","Row0"
"Imbabura","Ibarra","Rural","Row1"
"Tungurahua","Ambato","Urbana","Row2"
"Tungurahua","Ambato","Rural","Row3"
"Pichincha","Distrito Metropolitano De Quito","Urbana","Row4"
"Esmeraldas","San Lorenzo","Rural","Row7"
"Pichincha","Distrito Metropolitano De Quito","Rural","Row10"
"Santo Domingo De Los Tsachilas","Santo Domingo","Urbana","Row22"
"Manabi","Manta","Urbana","Row24"
"Azuay","Cuenca","Urbana","Row27"
"Azuay","Cuenca","Rural","Row28"
"Los Rios","Ventanas","Rural","Row29"
"Guayas","El Empalme","Rural","Row30"
"Guayas","Guayaquil","Rural","Row32"
"Guayas","Nobol","Rural","Row33"
"Santa Elena","Salinas","Urbana","Row34"
"Guayas","Daule","Rural","Row35"
"Guayas","General Antonio Elizalde","Rural","Row36"
"Manabi","Rocafuerte","Rural","Row37"
"Guayas","Salitre","Rural","Row38"
"Guayas","Milagro","Urbana","Row39"
"Guayas","Duran","Rural","Row40"
"Los Rios","Quevedo","Rural","Row41"
"Guayas","Naranjito","Rural","Row42"
"Guayas","Duran","Urbana","Row44"
"Santa Elena","Santa Elena","Rural","Row45"
"Manabi","Portoviejo","Rural","Row47"
"Guayas","Daule","Urbana","Row48"
"Santa Elena","Santa Elena","Urbana","Row49"
"Santo Domingo De Los Tsachilas","Santo Domingo","Rural","Row50"
"Guayas","Playas","Rural","Row51"
"Guayas","Samborondon","Rural","Row52"
"Guayas","Balao","Rural","Row54"
"Guayas","Milagro","Rural","Row60"
"Santa Elena","La Libertad","Urbana","Row64"
"Manabi","Sucre","Rural","Row67"
"Bolivar","San Miguel","Rural","Row68"
"Sucumbios","Lago Agrio","Rural","Row69"
"Canar","Canar","Rural","Row71"
"Napo","Tena","Rural","Row72"
"Cotopaxi","Latacunga","Rural","Row76"
"Cotopaxi","Salcedo","Rural","Row77"
"Pastaza","Pastaza","Rural","Row78"
"Pichincha","Mejia","Rural","Row79"
"Orellana","Loreto","Rural","Row80"
"Imbabura","Otavalo","Rural","Row82"
"Esmeraldas","Atacames","Rural","Row85"
"Chimborazo","Riobamba","Rural","Row86"
"Carchi","Tulcan","Rural","Row89"
"Azuay","Giron","Rural","Row90"
"Orellana","Orellana","Rural","Row91"
"Guayas","Guayaquil","Urbana","Row93"
"Manabi","Montecristi","Rural","Row132"
"Guayas","Samborondon","Urbana","Row137"
"El Oro","El Guabo","Rural","Row145"
"El Oro","Arenillas","Rural","Row146"
"Sucumbios","Sucumbios","Rural","Row148"
"Tungurahua","Quero","Rural","Row149"
"Canar","Azogues","Rural","Row150"
"Tungurahua","Santiago De Pillaro","Rural","Row151"
"El Oro","Machala","Rural","Row155"
"Guayas","Playas","Urbana","Row184"
"Guayas","Salitre","Urbana","Row187"
"Guayas","San Jacinto De Yaguachi","Urbana","Row188"
"Imbabura","Pimampiro","Rural","Row208"
"Guayas","Naranjal","Urbana","Row229"
"Azuay","Camilo Ponce Enriquez","Rural","Row231"
"Manabi","Chone","Rural","Row236"
"Manabi","Jipijapa","Rural","Row238"
