no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
929,MASCULINO,SOLTERO/A,PEATON,2019-01-18,ATROPELLO,2019-01-17,QUITO,PICHINCHA,2021-08-04,2019,1
1419,MASCULINO,SOLTERO/A,OCUPANTE,2020-10-24,CHOQUE,2019-12-22,RIOBAMBA,CHIMBORAZO,2021-06-10,2019,12
1978,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-21,CHOQUE,2019-12-08,PORTOVIEJO,MANABI,2021-03-30,2019,12
1983,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-19,VOLCAMIENTO,2019-12-18,CANAR,CANAR,2021-03-30,2019,12
2355,FEMENINO,CASADO/A,OCUPANTE,2019-12-15,CHOQUE,2019-12-14,LA LIBERTAD,SANTA ELENA,2021-02-12,2019,12
2397,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-21,CHOQUE,2019-11-13,LA JOYA DE LOS SACHAS,ORELLANA,2021-02-09,2019,11
2426,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-02,CHOQUE,2019-09-01,QUITO,PICHINCHA,2021-02-05,2019,9
2457,MASCULINO,SOLTERO/A,PEATON,2020-02-15,ATROPELLO,2019-06-09,NARANJAL,GUAYAS,2021-02-02,2019,6
2704,FEMENINO,VIUDO/A,PEATON,2020-03-02,ATROPELLO,2019-11-28,OTAVALO,IMBABURA,2021-01-13,2019,11
2750,MASCULINO,CASADO/A,OCUPANTE,2020-12-04,CHOQUE,2019-11-14,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2021-01-11,2019,11
2831,FEMENINO,DIVORCIADO/A,OCUPANTE,2020-01-05,CHOQUE,2019-12-29,MACHACHI,PICHINCHA,2020-12-22,2019,12
2838,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-21,CHOQUE,2019-12-21,YAGUACHI,GUAYAS,2020-12-22,2019,12
