provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
AZUAY,CUENCA,CUENCA,361524.0,71.68,5044.0
AZUAY,CUENCA,BANOS,21797.0,251.44,87.0
AZUAY,CUENCA,CUMBE,6455.0,75.13,86.0
AZUAY,CUENCA,CHAUCHA,1721.0,380.0,5.0
AZUAY,CUENCA,CHECA,3204.0,110.86,29.0
AZUAY,CUENCA,CHIQUINTAD,5738.0,93.44,61.0
AZUAY,CUENCA,LLACAO,7468.0,15.96,468.0
AZUAY,CUENCA,MOLLETURO,6882.0,983.77,7.0
AZUAY,CUENCA,NULTI,6707.0,27.04,248.0
AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,2516.0,20.88,120.0
AZUAY,CUENCA,PACCHA,8497.0,25.27,336.0
AZUAY,CUENCA,QUINGEO,7318.0,116.92,63.0
AZUAY,CUENCA,RICAURTE,26919.0,13.93,1932.0
AZUAY,CUENCA,SAN JOAQUIN,10728.0,204.18,53.0
AZUAY,CUENCA,SANTA ANA,7027.0,44.95,156.0
AZUAY,CUENCA,SAYAUSI,10352.0,279.74,37.0
AZUAY,CUENCA,SIDCAY,5039.0,16.17,312.0
AZUAY,CUENCA,SININCAY,26725.0,46.66,573.0
AZUAY,CUENCA,TARQUI,14144.0,150.84,94.0
AZUAY,CUENCA,TURI,13901.0,25.9,537.0
AZUAY,CUENCA,VALLE,34785.0,44.35,784.0
AZUAY,CUENCA,VICTORIA DEL PORTETE,6654.0,196.09,34.0
AZUAY,GIRON,GIRON,8441.0,239.52,35.0
AZUAY,GIRON,LA ASUNCION,2683.0,53.5,50.0
AZUAY,GIRON,SAN GERARDO,1058.0,49.49,21.0
AZUAY,GUALACEO,GUALACEO,22019.0,41.43,531.0
AZUAY,GUALACEO,DANIEL CORDOVA TORAL,1552.0,20.03,77.0
AZUAY,GUALACEO,JADAN,4581.0,52.54,87.0
AZUAY,GUALACEO,MARIANO MORENO,2513.0,37.88,66.0
AZUAY,GUALACEO,REMIGIO CRESPO TORAL,1380.0,30.66,45.0
AZUAY,GUALACEO,SAN JUAN,4696.0,35.78,131.0
AZUAY,GUALACEO,ZHIDMAD,3045.0,41.94,73.0
AZUAY,GUALACEO,LUIS CORDERO VEGA,2670.0,73.95,36.0
AZUAY,GUALACEO,SIMON BOLIVAR,732.0,11.93,61.0
AZUAY,NABON,NABON,9097.0,242.77,37.0
