mes,dia,hora,provincia,canton,zona,num_fallecido,num_lesionado,total_victimas,clase,causa,mes_num,dia_semana_num,hora_num,franja_horaria,anio,fecha_mes,total_victimas_calculado,total_victimas_inconsistente,id_siniestro
ENERO,MARTES,11:00 A 11:59,IMBABURA,OTAVALO,URBANA,0,0,0,PERDIDA DE PISTA,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,11,MANANA,2019,2019-01-01,0,False,1
ENERO,MARTES,23:00 A 23:59,IMBABURA,IBARRA,RURAL,0,0,0,OTROS,OTRAS CAUSAS,1,2,23,NOCHE,2019,2019-01-01,0,False,2
ENERO,MARTES,12:00 A 12:59,TUNGURAHUA,AMBATO,URBANA,0,3,3,CHOQUES,NO RESPETA LAS SENALES DE TRANSITO,1,2,12,TARDE,2019,2019-01-01,3,False,3
ENERO,MARTES,07:00 A 07:59,TUNGURAHUA,AMBATO,RURAL,0,1,1,ATROPELLOS,EMBRIAGUEZ O DROGA,1,2,7,MANANA,2019,2019-01-01,1,False,4
ENERO,MARTES,04:00 A 04:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,4,MADRUGADA,2019,2019-01-01,0,False,5
ENERO,MARTES,14:00 A 14:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ESTRELLAMIENTOS,NO RESPETA LAS SENALES DE TRANSITO,1,2,14,TARDE,2019,2019-01-01,0,False,6
ENERO,MARTES,01:00 A 01:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,1,MADRUGADA,2019,2019-01-01,0,False,7
ENERO,MARTES,20:00 A 20:59,ESMERALDAS,SAN LORENZO,RURAL,0,0,0,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,20,NOCHE,2019,2019-01-01,0,False,8
ENERO,MARTES,01:00 A 01:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,CHOQUES,EXCESO VELOCIDAD,1,2,1,MADRUGADA,2019,2019-01-01,0,False,9
ENERO,MARTES,10:00 A 10:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,CAIDA DE PASAJEROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,10,MANANA,2019,2019-01-01,1,False,10
ENERO,MARTES,08:00 A 08:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RURAL,0,5,5,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,8,MANANA,2019,2019-01-01,5,False,11
ENERO,MARTES,09:00 A 09:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,9,MANANA,2019,2019-01-01,1,False,12
ENERO,MARTES,14:00 A 14:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,14,TARDE,2019,2019-01-01,1,False,13
ENERO,MARTES,16:00 A 16:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,CHOQUES,NO RESPETA LAS SENALES DE TRANSITO,1,2,16,TARDE,2019,2019-01-01,1,False,14
ENERO,MARTES,06:00 A 06:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,RURAL,0,0,0,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,6,MANANA,2019,2019-01-01,0,False,15
ENERO,MARTES,06:00 A 06:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,CHOQUES,NO RESPETA LAS SENALES DE TRANSITO,1,2,6,MANANA,2019,2019-01-01,0,False,16
ENERO,MARTES,07:00 A 07:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,7,MANANA,2019,2019-01-01,1,False,17
ENERO,MARTES,07:00 A 07:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ESTRELLAMIENTOS,EMBRIAGUEZ O DROGA,1,2,7,MANANA,2019,2019-01-01,0,False,18
ENERO,MARTES,13:00 A 13:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ROZAMIENTOS,EMBRIAGUEZ O DROGA,1,2,13,TARDE,2019,2019-01-01,0,False,19
ENERO,MARTES,01:00 A 01:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,1,1,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,1,MADRUGADA,2019,2019-01-01,1,False,20
ENERO,MARTES,09:00 A 09:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,ESTRELLAMIENTOS,EXCESO VELOCIDAD,1,2,9,MANANA,2019,2019-01-01,0,False,21
ENERO,MARTES,20:00 A 20:59,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,URBANA,0,0,0,CHOQUES,EXCESO VELOCIDAD,1,2,20,NOCHE,2019,2019-01-01,0,False,22
ENERO,MARTES,19:00 A 19:59,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,URBANA,0,1,1,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,19,NOCHE,2019,2019-01-01,1,False,23
ENERO,MARTES,18:00 A 18:59,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,URBANA,0,1,1,CAIDA DE PASAJEROS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,18,NOCHE,2019,2019-01-01,1,False,24
ENERO,MARTES,12:00 A 12:59,MANABI,MANTA,URBANA,0,0,0,CHOQUES,NO RESPETA LAS SENALES DE TRANSITO,1,2,12,TARDE,2019,2019-01-01,0,False,25
ENERO,MARTES,11:00 A 11:59,MANABI,MANTA,URBANA,0,1,1,ATROPELLOS,EMBRIAGUEZ O DROGA,1,2,11,MANANA,2019,2019-01-01,1,False,26
ENERO,MARTES,03:00 A 03:59,MANABI,MANTA,URBANA,0,0,0,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,3,MADRUGADA,2019,2019-01-01,0,False,27
ENERO,MARTES,03:00 A 03:59,AZUAY,CUENCA,URBANA,0,1,1,ROZAMIENTOS,EMBRIAGUEZ O DROGA,1,2,3,MADRUGADA,2019,2019-01-01,1,False,28
ENERO,MARTES,21:00 A 21:59,AZUAY,CUENCA,RURAL,1,1,2,ESTRELLAMIENTOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,21,NOCHE,2019,2019-01-01,2,False,29
ENERO,MARTES,11:00 A 11:59,LOS RIOS,VENTANAS,RURAL,0,1,1,CHOQUES,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,11,MANANA,2019,2019-01-01,1,False,30
ENERO,MARTES,20:00 A 20:59,GUAYAS,EL EMPALME,RURAL,0,0,0,ATROPELLOS,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,1,2,20,NOCHE,2019,2019-01-01,0,False,31
