No.,Género de la víctima,Estado Civil de la víctima,Condición,Fecha de muerte Víctima,Tipo de accidente,Fecha Siniestro,Cantón,Provincia,Fecha de creación de Protección de Fallecidos
1,MASCULINO,SOLTERO/A,PEATÓN,2021/10/17,ATROPELLO,2021/10/17,Mira,Carchi,2021/11/21
2,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/31,CHOQUE,2021/10/30,Quito,Pichincha,2021/11/21
3,MASCULINO,CASADO/A,OCUPANTE,2021/9/14,CHOQUE,2021/9/14,Shushufindi,Sucumbíos,2021/11/21
4,MASCULINO,CASADO/A,OCUPANTE,2020/12/18,VOLCAMIENTO,2020/12/19,Calceta,Manabí,2021/11/21
5,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/7,CHOQUE,2021/10/4,Quevedo,Los Ríos,2021/11/21
6,MASCULINO,SOLTERO/A,PEATÓN,2021/10/26,ATROPELLO,2021/10/26,Atacames,Esmeraldas,2021/11/21
7,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/10,CHOQUE,2021/10/10,Tena,Napo,2021/11/21
8,FEMENINO,SOLTERO/A,OCUPANTE,2021/9/27,CHOQUE,2021/9/27,San Miguel,Bolivar,2021/11/21
9,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/23,CHOQUE,2021/10/23,Balzar,Guayas,2021/11/21
10,MASCULINO,SOLTERO/A,OCUPANTE,2021/6/17,VOLCAMIENTO,2021/6/17,Cuenca,Azuay,2021/11/21
11,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/22,VOLCAMIENTO,2021/10/22,Playas,Guayas,2021/11/21
12,MASCULINO,CASADO/A,OCUPANTE,2021/10/30,CHOQUE,2021/10/30,El Guabo,El Oro,2021/11/21
13,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/5,CHOQUE,2021/9/5,Santa Ana,Manabí,2021/11/20
14,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/3,CHOQUE,2021/10/3,Echeandía,Bolivar,2021/11/20
15,FEMENINO,CASADO/A,OCUPANTE,2021/10/18,CHOQUE,2021/10/18,Colta,Chimborazo,2021/11/20
16,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/17,CHOQUE,2021/10/17,Playas,Guayas,2021/11/20
17,MASCULINO,VIUDO/A,OCUPANTE,2021/8/20,CHOQUE,2021/8/20,Catamayo,Loja,2021/11/20
18,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/4,CHOQUE,2021/9/4,El Guabo,El Oro,2021/11/20
19,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/18,VOLCAMIENTO,2021/9/11,Las Naves,Bolivar,2021/11/20
20,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/28,VOLCAMIENTO,2021/9/28,Tarapoa,Sucumbíos,2021/11/20
21,MASCULINO,CASADO/A,OCUPANTE,2021/7/24,CHOQUE,2021/7/24,Latacunga,Cotopaxi,2021/11/20
22,MASCULINO,DIVORCIADO/A,OCUPANTE,2021/9/25,CHOQUE,2021/9/6,San Miguel de Los Bancos,Pichincha,2021/11/20
23,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/4,CHOQUE,2021/10/4,Santo Domingo,Santo Domingo de los Tsachilas,2021/11/20
24,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/18,VOLCAMIENTO,2021/10/18,Puerto Francisco de Orellana,Orellana,2021/11/20
25,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/10,CHOQUE,2021/10/10,Azogues,Cañar,2021/11/20
26,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/3,CHOQUE,2021/10/3,Babahoyo,Los Ríos,2021/11/20
27,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/28,CHOQUE,2021/10/28,Portoviejo,Manabí,2021/11/20
28,MASCULINO,CASADO/A,PEATÓN,2021/9/28,ATROPELLO,2021/9/28,Playas,Guayas,2021/11/20
29,FEMENINO,SOLTERO/A,OCUPANTE,2021/8/1,CHOQUE,2021/7/31,Riobamba,Chimborazo,2021/11/20
30,MASCULINO,SOLTERO/A,PEATÓN,2021/4/19,ATROPELLO,2021/4/19,Yaguachi,Guayas,2021/11/20
31,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/10,VOLCAMIENTO,2021/10/10,Guayaquil,Guayas,2021/11/20
32,MASCULINO,CASADO/A,PEATÓN,2021/10/13,ATROPELLO,2021/9/13,Guayaquil,Guayas,2021/11/19
33,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/24,CHOQUE,2021/10/24,Portoviejo,Manabí,2021/11/19
34,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/24,CHOQUE,2021/10/24,El Triunfo,Guayas,2021/11/18
35,FEMENINO,SOLTERO/A,OCUPANTE,2021/9/19,CHOQUE,2021/9/19,Quevedo,Los Ríos,2021/11/18
36,FEMENINO,CASADO/A,OCUPANTE,2021/10/22,VOLCAMIENTO,2021/10/23,Zamora,Zamora Chinchipe,2021/11/18
37,FEMENINO,SOLTERO/A,OCUPANTE,2021/9/11,CHOQUE,2021/9/11,Santa Isabel,Azuay,2021/11/18
38,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/30,CHOQUE,2021/10/30,Yaguachi,Guayas,2021/11/18
39,MASCULINO,CASADO/A,OCUPANTE,2021/9/2,ATROPELLO,2021/9/2,El Guabo,El Oro,2021/11/18
40,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/25,CHOQUE,2021/10/25,Daule,Guayas,2021/11/18
41,FEMENINO,SOLTERO/A,OCUPANTE,2021/10/31,CHOQUE,2021/10/31,Salitre,Guayas,2021/11/18
42,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/30,CHOQUE,2021/10/24,Pedro Vicente Maldonado,Pichincha,2021/11/18
43,FEMENINO,SOLTERO/A,PEATÓN,2021/10/18,ATROPELLO,2021/10/18,Guayaquil,Guayas,2021/11/18
44,MASCULINO,SOLTERO/A,OCUPANTE,2021/7/16,CHOQUE,2021/7/15,Babahoyo,Los Ríos,2021/11/17
45,MASCULINO,CASADO/A,PEATÓN,2021/5/31,ATROPELLO,2021/5/31,Latacunga,Cotopaxi,2021/11/17
46,MASCULINO,CASADO/A,OCUPANTE,2021/9/12,CHOQUE,2021/9/12,Samborondón,Guayas,2021/11/17
47,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/24,VOLCAMIENTO,2021/10/24,Baba,Los Ríos,2021/11/17
48,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/29,CHOQUE,2021/8/29,Nabón,Azuay,2021/11/17
49,MASCULINO,SOLTERO/A,OCUPANTE,2020/12/31,CHOQUE,2020/12/31,Piñas,El Oro,2021/11/17
50,FEMENINO,CASADO/A,OCUPANTE,2021/11/7,CHOQUE,2021/11/7,Quito,Pichincha,2021/11/17
51,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/3,CHOQUE,2021/10/3,Babahoyo,Los Ríos,2021/11/17
52,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/17,CHOQUE,2021/10/17,Naranjal,Guayas,2021/11/16
53,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/10,CHOQUE,2021/10/10,Daule,Guayas,2021/11/16
54,MASCULINO,CASADO/A,OCUPANTE,2021/10/15,CHOQUE,2021/10/15,Manta,Manabí,2021/11/16
55,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/11,CHOQUE,2021/10/11,Guayaquil,Guayas,2021/11/16
56,MASCULINO,CASADO/A,OCUPANTE,2021/10/2,VOLCAMIENTO,2021/10/2,San Miguel,Bolivar,2021/11/16
57,MASCULINO,SOLTERO/A,OCUPANTE,2021/7/3,CHOQUE,2021/7/3,Ibarra,Imbabura,2021/11/16
58,MASCULINO,CASADO/A,OCUPANTE,2021/7/24,CHOQUE,2021/7/24,Latacunga,Cotopaxi,2021/11/16
59,FEMENINO,SOLTERO/A,OCUPANTE,2021/7/20,VOLCAMIENTO,2021/7/11,Tena,Napo,2021/11/16
60,MASCULINO,SOLTERO/A,PEATÓN,2021/10/30,ATROPELLO,2021/10/30,Quito,Pichincha,2021/11/16
61,FEMENINO,DIVORCIADO/A,OCUPANTE,2021/10/17,ATROPELLO,2021/9/13,Chone,Manabí,2021/11/16
62,FEMENINO,SOLTERO/A,PEATÓN,2021/9/13,ATROPELLO,2021/9/13,Chone,Manabí,2021/11/16
63,FEMENINO,SOLTERO/A,PEATÓN,2021/8/8,ATROPELLO,2021/8/8,Otavalo,Imbabura,2021/11/16
64,MASCULINO,CASADO/A,OCUPANTE,2021/9/18,CHOQUE,2021/9/18,Pujilí,Cotopaxi,2021/11/16
65,MASCULINO,SOLTERO/A,PEATÓN,2021/9/6,ATROPELLO,2021/9/6,Quito,Pichincha,2021/11/16
66,FEMENINO,SOLTERO/A,OCUPANTE,2021/7/16,VOLCAMIENTO,2021/7/16,Latacunga,Cotopaxi,2021/11/16
67,FEMENINO,SOLTERO/A,OCUPANTE,2021/9/30,CHOQUE,2021/9/30,Quito,Pichincha,2021/11/15
68,MASCULINO,SOLTERO/A,OCUPANTE,2021/11/7,ATROPELLO,2021/11/7,Quito,Pichincha,2021/11/15
69,MASCULINO,SOLTERO/A,PEATÓN,2021/8/30,ATROPELLO,2021/8/7,Guayaquil,Guayas,2021/11/15
70,MASCULINO,VIUDO/A,PEATÓN,2021/10/25,ATROPELLO,2021/10/25,Salcedo,Cotopaxi,2021/11/15
71,FEMENINO,SOLTERO/A,PEATÓN,2021/10/8,ATROPELLO,2021/10/8,Baños,Tungurahua,2021/11/15
72,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/6,VOLCAMIENTO,2021/10/3,Nueva Loja,Sucumbíos,2021/11/15
73,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/8,CHOQUE,2021/10/8,Quito,Pichincha,2021/11/15
74,FEMENINO,SOLTERO/A,PEATÓN,2021/9/10,ATROPELLO,2021/9/10,Guayaquil,Guayas,2021/11/15
75,FEMENINO,SOLTERO/A,OCUPANTE,2021/10/13,CHOQUE,2021/10/13,Guayaquil,Guayas,2021/11/15
76,MASCULINO,SOLTERO/A,PEATÓN,2021/9/20,DESCONOCIDO,2021/9/20,Pujilí,Cotopaxi,2021/11/15
77,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/30,CHOQUE,2021/9/30,Machala,El Oro,2021/11/15
78,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/3,CHOQUE,2021/10/3,Samborondón,Guayas,2021/11/15
79,MASCULINO,CASADO/A,OCUPANTE,2021/8/31,,2021/8/31,Guaranda,Bolivar,2021/11/15
80,MASCULINO,DIVORCIADO/A,OCUPANTE,2021/10/15,VOLCAMIENTO,2021/10/15,Puyo,Pastaza,2021/11/12
81,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/31,CHOQUE,2021/10/31,Guayaquil,Guayas,2021/11/12
82,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/26,CHOQUE,2021/9/26,Rocafuerte,Manabí,2021/11/12
83,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/19,VOLCAMIENTO,2021/9/19,Machachi,Pichincha,2021/11/12
84,MASCULINO,CASADO/A,PEATÓN,2021/9/15,ATROPELLO,2021/9/15,Guayaquil,Guayas,2021/11/12
85,FEMENINO,SOLTERO/A,OCUPANTE,2021/10/9,VOLCAMIENTO,2021/10/9,Machachi,Pichincha,2021/11/11
86,FEMENINO,CASADO/A,OCUPANTE,2021/7/28,DESCONOCIDO,2021/7/28,Nueva Loja,Sucumbíos,2021/11/11
87,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/17,CHOQUE,2021/10/17,Portoviejo,Manabí,2021/11/11
88,MASCULINO,CASADO/A,OCUPANTE,2021/10/19,VOLCAMIENTO,2021/10/19,Ibarra,Imbabura,2021/11/11
89,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/18,CHOQUE,2021/9/17,Balzar,Guayas,2021/11/11
90,MASCULINO,SOLTERO/A,OCUPANTE,2021/7/3,CHOQUE,2021/7/3,Ibarra,Imbabura,2021/11/11
91,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/1,CAIDA,2021/7/29,Quinsaloma,Los Ríos,2021/11/11
92,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/23,ATROPELLO,2021/9/23,Sangolquí,Pichincha,2021/11/10
93,MASCULINO,CASADO/A,OCUPANTE,2021/6/20,VOLCAMIENTO,2021/6/12,Ambato,Tungurahua,2021/11/10
94,MASCULINO,SOLTERO/A,OCUPANTE,2021/7/2,VOLCAMIENTO,2021/7/2,Quito,Pichincha,2021/11/10
95,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/19,CHOQUE,2021/10/9,Latacunga,Cotopaxi,2021/11/10
96,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/4,DESCONOCIDO,2021/8/4,Pasaje,El Oro,2021/11/10
97,FEMENINO,CASADO/A,OCUPANTE,2021/9/22,CHOQUE,2021/9/22,Saraguro,Loja,2021/11/10
98,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/14,CHOQUE,2021/10/14,Vinces,Los Ríos,2021/11/9
99,MASCULINO,SOLTERO/A,PEATÓN,2021/10/3,ATROPELLO,2021/10/2,Yaguachi,Guayas,2021/11/9
100,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/14,CHOQUE,2021/10/14,Milagro,Guayas,2021/11/9
101,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/26,CHOQUE,2021/9/25,Huaquillas,El Oro,2021/11/9
102,FEMENINO,CASADO/A,OCUPANTE,2021/10/2,CHOQUE,2021/10/2,Quito,Pichincha,2021/11/9
103,MASCULINO,SOLTERO/A,PEATÓN,2021/10/24,ATROPELLO,2021/10/24,La Libertad,Santa Elena,2021/11/9
104,MASCULINO,CASADO/A,OCUPANTE,2021/10/9,CHOQUE,2021/10/9,Balzar,Guayas,2021/11/9
105,FEMENINO,CASADO/A,PEATÓN,2021/10/10,ATROPELLO,2021/10/10,Durán,Guayas,2021/11/9
106,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/13,CAIDA,2021/10/14,Samborondón,Guayas,2021/11/9
107,MASCULINO,CASADO/A,OCUPANTE,2021/9/29,CHOQUE,2021/9/29,Santa Rosa,El Oro,2021/11/9
108,MASCULINO,SOLTERO/A,PEATÓN,2021/10/1,ATROPELLO,2021/10/1,Naranjal,Guayas,2021/11/9
109,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/1,VOLCAMIENTO,2021/10/1,Balao,Guayas,2021/11/9
110,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/5,CHOQUE,2021/9/5,La Joya de los Sachas,Orellana,2021/11/9
111,MASCULINO,SOLTERO/A,OCUPANTE,2021/3/17,CHOQUE,2021/3/17,Portoviejo,Manabí,2021/11/8
112,FEMENINO,VIUDO/A,PEATÓN,2020/12/24,ATROPELLO,2020/12/23,Santo Domingo,Santo Domingo de los Tsachilas,2021/11/8
113,MASCULINO,CASADO/A,OCUPANTE,2021/9/23,CHOQUE,2021/9/23,Santo Domingo,Santo Domingo de los Tsachilas,2021/11/8
114,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/2,CHOQUE,2021/8/25,Calceta,Manabí,2021/11/8
115,MASCULINO,SOLTERO/A,PEATÓN,2021/10/16,DESCONOCIDO,2021/10/16,Palenque,Los Ríos,2021/11/8
116,MASCULINO,CASADO/A,OCUPANTE,2021/10/6,CHOQUE,2021/10/1,Nueva Loja,Sucumbíos,2021/11/8
117,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/24,CHOQUE,2021/9/24,El Carmen,Manabí,2021/11/8
118,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/26,CHOQUE,2021/9/18,Daule,Guayas,2021/11/8
119,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/7,CHOQUE,2021/8/7,Durán,Guayas,2021/11/8
120,MASCULINO,CASADO/A,PEATÓN,2021/1/23,ATROPELLO,2021/1/23,Guayaquil,Guayas,2021/11/8
121,FEMENINO,VIUDO/A,OCUPANTE,2021/10/4,CAIDA,2021/9/27,Riobamba,Chimborazo,2021/11/8
122,MASCULINO,CASADO/A,OCUPANTE,2021/9/28,CHOQUE,2021/9/28,Guayaquil,Guayas,2021/11/8
123,FEMENINO,VIUDO/A,OCUPANTE,2021/7/26,VOLCAMIENTO,2021/7/26,Chordeleg,Azuay,2021/11/8
124,MASCULINO,SOLTERO/A,OCUPANTE,2020/11/8,CHOQUE,2020/11/7,Valencia,Los Ríos,2021/11/8
125,FEMENINO,CASADO/A,OCUPANTE,2021/10/18,VOLCAMIENTO,2021/10/18,Colta,Chimborazo,2021/11/8
126,MASCULINO,SOLTERO/A,PEATÓN,2021/10/6,ATROPELLO,2021/10/10,Otavalo,Imbabura,2021/11/5
127,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/20,CHOQUE,2021/10/20,Quito,Pichincha,2021/11/5
128,MASCULINO,CASADO/A,PEATÓN,2021/8/14,ATROPELLO,2021/8/14,Chimbo,Bolivar,2021/11/5
129,MASCULINO,SOLTERO/A,OCUPANTE,2021/5/22,VOLCAMIENTO,2021/5/22,Yaguachi,Guayas,2021/11/5
130,MASCULINO,CASADO/A,OCUPANTE,2021/10/15,VOLCAMIENTO,2021/10/15,Portoviejo,Manabí,2021/11/5
131,MASCULINO,SOLTERO/A,PEATÓN,2021/10/3,CHOQUE,2021/10/1,Quevedo,Los Ríos,2021/11/5
132,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/14,VOLCAMIENTO,2021/8/15,Milagro,Guayas,2021/11/5
133,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/8,CHOQUE,2021/10/8,Quito,Pichincha,2021/11/5
134,MASCULINO,CASADO/A,OCUPANTE,2021/10/7,CHOQUE,2021/10/7,Macas,Morona Santiago,2021/11/5
135,MASCULINO,CASADO/A,OCUPANTE,2021/7/25,CHOQUE,2021/6/6,Milagro,Guayas,2021/11/4
136,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/22,CHOQUE,2021/9/11,Daule,Guayas,2021/11/4
137,MASCULINO,CASADO/A,OCUPANTE,2021/6/10,CHOQUE,2021/6/10,Quito,Pichincha,2021/11/4
138,FEMENINO,SOLTERO/A,OCUPANTE,2021/10/9,CHOQUE,2021/10/9,Jama,Manabí,2021/11/4
139,MASCULINO,SOLTERO/A,OCUPANTE,2021/6/12,CHOQUE,2021/6/11,Santo Domingo,Santo Domingo de los Tsachilas,2021/11/4
140,FEMENINO,SOLTERO/A,PEATÓN,2021/8/9,ATROPELLO,2021/8/9,Salcedo,Cotopaxi,2021/11/4
141,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/9,CHOQUE,2021/10/10,Salitre,Guayas,2021/11/4
142,FEMENINO,VIUDO/A,PEATÓN,2021/9/2,ATROPELLO,2021/9/2,Quito,Pichincha,2021/10/29
143,MASCULINO,SOLTERO/A,OCUPANTE,2021/8/27,CHOQUE,2021/8/27,Yaguachi,Guayas,2021/10/29
144,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/8,CHOQUE,2021/10/8,Jipijapa,Manabí,2021/10/29
145,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/16,ATROPELLO,2021/10/16,Azogues,Cañar,2021/10/29
146,MASCULINO,SOLTERO/A,PEATÓN,2021/6/20,DESCONOCIDO,2021/6/20,Cañar,Cañar,2021/10/29
147,MASCULINO,SOLTERO/A,PEATÓN,2021/9/17,ATROPELLO,2021/9/17,Durán,Guayas,2021/10/29
148,FEMENINO,SOLTERO/A,PEATÓN,2021/8/19,ATROPELLO,2021/8/19,Playas,Guayas,2021/10/29
149,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/28,VOLCAMIENTO,2021/9/28,Chone,Manabí,2021/10/29
150,FEMENINO,SOLTERO/A,OCUPANTE,2021/8/16,CAIDA,2021/8/16,El Carmen,Manabí,2021/10/29
151,MASCULINO,CASADO/A,OCUPANTE,2021/9/16,,2021/9/13,Arenillas,El Oro,2021/10/29
152,MASCULINO,SOLTERO/A,PEATÓN,2019/9/24,ATROPELLO,2021/9/22,Nueva Loja,Sucumbíos,2021/10/29
153,MASCULINO,SOLTERO/A,PEATÓN,2021/8/25,ATROPELLO,2021/8/25,San Lorenzo,Esmeraldas,2021/10/29
154,FEMENINO,DIVORCIADO/A,OCUPANTE,2020/11/4,CHOQUE,2020/11/4,Rocafuerte,Manabí,2021/10/29
155,MASCULINO,CASADO/A,OCUPANTE,2021/10/4,VOLCAMIENTO,2021/10/2,Guayaquil,Guayas,2021/10/29
156,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/5,CHOQUE,2021/9/4,La Troncal,Cañar,2021/10/29
157,MASCULINO,SOLTERO/A,BICICLETA,2021/10/12,ATROPELLO,2021/10/12,Vinces,Los Ríos,2021/10/29
158,MASCULINO,SOLTERO/A,PEATÓN,2020/12/16,ATROPELLO,2020/12/16,Daule,Guayas,2021/10/29
159,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/14,CHOQUE,2021/10/14,Riobamba,Chimborazo,2021/10/28
160,MASCULINO,SOLTERO/A,OCUPANTE,2021/10/14,CHOQUE,2021/10/14,Vinces,Los Ríos,2021/10/28
161,MASCULINO,SOLTERO/A,BICICLETA,2021/7/28,ATROPELLO,2021/6/6,Nueva Loja,Sucumbíos,2021/10/28
162,MASCULINO,SOLTERO/A,OCUPANTE,2021/9/17,CHOQUE,2021/9/17,Puyo,Pastaza,2021/10/28
