MES;DIA;HORA;PROVINCIA;CANTON;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;MARTES;11:00 A 11:59;IMBABURA;OTAVALO;URBANA;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;23:00 A 23:59;IMBABURA;IBARRA;RURAL;0;0;0;OTROS;OTRAS CAUSAS
ENERO;MARTES;12:00 A 12:59;TUNGURAHUA;AMBATO;URBANA;0;3;3;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;07:00 A 07:59;TUNGURAHUA;AMBATO;RURAL;0;1;1;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;04:00 A 04:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;14:00 A 14:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;01:00 A 01:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;20:00 A 20:59;ESMERALDAS;SAN LORENZO;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;01:00 A 01:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;CHOQUES;EXCESO VELOCIDAD
ENERO;MARTES;10:00 A 10:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;CAÍDA DE PASAJEROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;08:00 A 08:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;RURAL;0;5;5;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;09:00 A 09:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;14:00 A 14:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;16:00 A 16:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;06:00 A 06:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;RURAL;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;06:00 A 06:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;07:00 A 07:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;07:00 A 07:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;13:00 A 13:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ROZAMIENTOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;01:00 A 01:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;09:00 A 09:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;MARTES;20:00 A 20:59;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;URBANA;0;0;0;CHOQUES;EXCESO VELOCIDAD
ENERO;MARTES;19:00 A 19:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;18:00 A 18:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;URBANA;0;1;1;CAÍDA DE PASAJEROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;12:00 A 12:59;MANABÍ;MANTA;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;11:00 A 11:59;MANABÍ;MANTA;URBANA;0;1;1;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;03:00 A 03:59;MANABÍ;MANTA;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;03:00 A 03:59;AZUAY;CUENCA;URBANA;0;1;1;ROZAMIENTOS;EMBRIAGUEZ O DROGA
ENERO;MARTES;21:00 A 21:59;AZUAY;CUENCA;RURAL;1;1;2;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;LOS RÍOS;VENTANAS;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;20:00 A 20:59;GUAYAS;EL EMPALME;RURAL;0;0;0;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;08:00 A 08:59;LOS RÍOS;VENTANAS;RURAL;0;5;5;OTROS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;17:00 A 17:59;GUAYAS;GUAYAQUIL;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;21:00 A 21:59;GUAYAS;NOBOL;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;13:00 A 13:59;SANTA ELENA;SALINAS;URBANA;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;19:00 A 19:59;GUAYAS;DAULE;RURAL;0;2;2;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;GUAYAS;GENERAL  ANTONIO ELIZALDE;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;MARTES;18:00 A 18:59;MANABÍ;ROCAFUERTE;RURAL;0;5;5;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;12:00 A 12:59;GUAYAS;SALITRE;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;11:00 A 11:59;GUAYAS;MILAGRO;URBANA;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;MARTES;13:00 A 13:59;GUAYAS;DURAN;RURAL;0;3;3;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;MARTES;23:00 A 23:59;LOS RÍOS;QUEVEDO;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
